core.gas, Gps, receiverStatusCls.ReceiverStatus.error_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.temp_status, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.vol_supply_status, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.primary_ant_power_status, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.lna, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.primary_ant_open_circuit_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.primary_ant_short_circuit_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.cpu_overload_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.comport_buff_overrun, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.link_overrun_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.input_overrun_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.aux_transmit_overrun_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.agc_out_of_range, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.jammer_detected, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.ins_reset_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.imu_com_failure, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.gps_almanac_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.pos_solution_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.pos_fixed_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.clock_steering_status, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.clock_model_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.ext_oscillator_locked_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.software_resource, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.version_bit, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.tracking_mode, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.digital_filtering_enabled, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.aux3_status_event_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.aux2_status_event_flag, NoneType, 1
core.gas, Gps, receiverStatusCls.ReceiverStatus.aux1_status_event_flag, NoneType, 1
core.gas, Gps, gps_index, int, 1
core.gas, ReceiverStatus, error_flag, NoneType, 1
core.gas, ReceiverStatus, temp_status, NoneType, 1
core.gas, ReceiverStatus, vol_supply_status, NoneType, 1
core.gas, ReceiverStatus, primary_ant_power_status, NoneType, 1
core.gas, ReceiverStatus, lna, NoneType, 1
core.gas, ReceiverStatus, primary_ant_open_circuit_flag, NoneType, 1
core.gas, ReceiverStatus, primary_ant_short_circuit_flag, NoneType, 1
core.gas, ReceiverStatus, cpu_overload_flag, NoneType, 1
core.gas, ReceiverStatus, comport_buff_overrun, NoneType, 1
core.gas, ReceiverStatus, link_overrun_flag, NoneType, 1
core.gas, ReceiverStatus, input_overrun_flag, NoneType, 1
core.gas, ReceiverStatus, aux_transmit_overrun_flag, NoneType, 1
core.gas, ReceiverStatus, agc_out_of_range, NoneType, 1
core.gas, ReceiverStatus, jammer_detected, NoneType, 1
core.gas, ReceiverStatus, ins_reset_flag, NoneType, 1
core.gas, ReceiverStatus, imu_com_failure, NoneType, 1
core.gas, ReceiverStatus, gps_almanac_flag, NoneType, 1
core.gas, ReceiverStatus, pos_solution_flag, NoneType, 1
core.gas, ReceiverStatus, pos_fixed_flag, NoneType, 1
core.gas, ReceiverStatus, clock_steering_status, NoneType, 1
core.gas, ReceiverStatus, clock_model_flag, NoneType, 1
core.gas, ReceiverStatus, ext_oscillator_locked_flag, NoneType, 1
core.gas, ReceiverStatus, software_resource, NoneType, 1
core.gas, ReceiverStatus, version_bit, NoneType, 1
core.gas, ReceiverStatus, tracking_mode, NoneType, 1
core.gas, ReceiverStatus, digital_filtering_enabled, NoneType, 1
core.gas, ReceiverStatus, aux3_status_event_flag, NoneType, 1
core.gas, ReceiverStatus, aux2_status_event_flag, NoneType, 1
core.gas, ReceiverStatus, aux1_status_event_flag, NoneType, 1
core.gyro, CeIru, systime, str, 10
core.gyro, CeIru, counter, int, 10
core.gyro, CeIru, gyro_status1, int, 10
core.gyro, CeIru, gyro_status2, int, 10
core.gyro, CeIru, iru_status, int, 10
core.gyro, CeIru, err_status, int, 10
core.gyro, CeIru, angular_increment_x, int, 10
core.gyro, CeIru, angular_increment_y, int, 10
core.gyro, CeIru, angular_increment_z1, int, 10
core.gyro, CeIru, angular_increment_z2, int, 10
core.gyro, CeIru, gyro_temp1, int, 10
core.gyro, CeIru, gyro_temp2, int, 10
core.gyro, CeIru, cpu_temp, int, 10
core.gyro, CeIru, cluster_temp, int, 10
core.gyro, CeIru, gyro1_rotation_vel, int, 10
core.gyro, CeIru, gyro2_rotation_vel, int, 10
core.gyro, CeIru, vx, int, 10
core.gyro, CeIru, vy, int, 10
core.gyro, CeIru, vz1, int, 10
core.gyro, CeIru, vz2, int, 10
core.gyro, CeIru, gyro_driver_status, int, 10
core.gyro, MIru, systime, str, 10
core.gyro, MIru, stx, int, 10
core.gyro, MIru, frame_count, int, 10
core.gyro, MIru, status, int, 10
core.gyro, MIru, angular_velocity_a, float, 10
core.gyro, MIru, angular_velocity_b, float, 10
core.gyro, MIru, angular_velocity_c, float, 10
core.gyro, MIru, angular_increment_a, float, 10
core.gyro, MIru, angular_increment_b, float, 10
core.gyro, MIru, angular_increment_c, float, 10
core.gyro, MIru, gyro_temp_a, float, 10
core.gyro, MIru, gyro_temp_b, float, 10
core.gyro, MIru, gyro_temp_c, float, 10
core.gyro, MIru, horizontal_parity, int, 10
core.gyro, MIru, etb, int, 10
core.gyro, MIru, is_active, int, 10
core.gyro, MIru, gyro_driver_status, int, 10
core.attitude_control, AttitudeControl, systime, str, 1
core.attitude_control, AttitudeControl, gas_vector, float, 3
core.attitude_control, AttitudeControl, sas_vector, float, 3
core.attitude_control, AttitudeControl, gyro_vector, float, 3
core.attitude_control, AttitudeControl, stt_quaternion, float, 4
core.attitude_control, AttitudeControl, gps_info, float, 3
core.attitude_control, AttitudeControl, utc_time, str, 1
core.attitude_control, AttitudeControl, dcm_inertia_to_body, float, 9
