core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.modem_a, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.stt1, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.stt2, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.stt3, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.stt4, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.obc_a, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.obc_b, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.tx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.rx_b, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.modem_b, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.main, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.gas, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.gps1, float, 1
core.marvi_hk_data, MarviHkData, djm.2.over_current_info.I2c.gps2, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.2.sas1.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.x_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.y_angle, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.gain, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.x_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.y_peak, int, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.sensor_gain_mode, str, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.error_chk, str, 1
core.marvi_hk_data, MarviHkData, djm.2.sas2.Sas.timestamp, str, 1
core.marvi_hk_data, MarviHkData, djm.2.time_stamp, str, 1
core.marvi_hk_data, MarviHkData, djm.2.djm_version, str, 1
core.marvi_hk_data, MarviHkData, djm.2.build_time, str, 1
core.marvi_hk_data, MarviHkData, djm.2.build_date, str, 1
core.marvi_hk_data, MarviHkData, djm.2.terminal_log, str, 1
core.marvi_hk_data, MarviHkData, djm.2.checksum, int, 1
core.marvi_hk_data, MarviHkData, djm.3.djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.3.systime, str, 1
core.marvi_hk_data, MarviHkData, djm.3.log_size, int, 1
core.marvi_hk_data, MarviHkData, djm.3.hk_djm_id, int, 1
core.marvi_hk_data, MarviHkData, djm.3.string_v, float, 8
core.marvi_hk_data, MarviHkData, djm.3.pulse_status, int, 4
core.marvi_hk_data, MarviHkData, djm.3.sap_panel_v, float, 1
core.marvi_hk_data, MarviHkData, djm.3.sap_panel_i, float, 1
core.marvi_hk_data, MarviHkData, djm.3.i2c_sas_power, float, 1
core.marvi_hk_data, MarviHkData, djm.3.tmp, float, 1
core.marvi_hk_data, MarviHkData, djm.3.ads1115_temp, float, 10
core.marvi_hk_data, MarviHkData, djm.3.i2c_current.I2c.unit_type, str, 1
