djm, I2c, djm.2.i2c_current.heater3, float, 1
djm, I2c, djm.2.i2c_current.heater4, float, 1
djm, I2c, djm.2.i2c_current.hdrm1, float, 1
djm, I2c, djm.2.i2c_current.hdrm2, float, 1
djm, I2c, djm.2.i2c_voltage.unit_type, str, 1
djm, I2c, djm.2.i2c_voltage.cpu_i2c_origin, float, 1
djm, I2c, djm.2.i2c_voltage.djm_15, float, 1
djm, I2c, djm.2.i2c_voltage.temp_sensor, float, 1
djm, I2c, djm.2.i2c_voltage.mtq, float, 1
djm, I2c, djm.2.i2c_voltage.sas1, float, 1
djm, I2c, djm.2.i2c_voltage.sas2, float, 1
djm, I2c, djm.2.i2c_voltage.djm_i2c, float, 1
djm, I2c, djm.2.i2c_voltage.heater1, float, 1
djm, I2c, djm.2.i2c_voltage.heater2, float, 1
djm, I2c, djm.2.i2c_voltage.heater3, float, 1
djm, I2c, djm.2.i2c_voltage.heater4, float, 1
djm, I2c, djm.2.i2c_voltage.hdrm1, float, 1
djm, I2c, djm.2.i2c_voltage.hdrm2, float, 1
djm, I2c, djm.2.over_current_info.unit_type, str, 1
djm, I2c, djm.2.over_current_info.cpu_i2c_origin, float, 1
djm, I2c, djm.2.over_current_info.djm_15, float, 1
djm, I2c, djm.2.over_current_info.temp_sensor, float, 1
djm, I2c, djm.2.over_current_info.mtq, float, 1
djm, I2c, djm.2.over_current_info.sas1, float, 1
djm, I2c, djm.2.over_current_info.sas2, float, 1
djm, I2c, djm.2.over_current_info.djm_i2c, float, 1
djm, I2c, djm.2.over_current_info.heater1, float, 1
djm, I2c, djm.2.over_current_info.heater2, float, 1
djm, I2c, djm.2.over_current_info.heater3, float, 1
djm, I2c, djm.2.over_current_info.heater4, float, 1
djm, I2c, djm.2.over_current_info.hdrm1, float, 1
djm, I2c, djm.2.over_current_info.hdrm2, float, 1
djm, Sas, djm.2.sas1.x_angle, float, 1
djm, Sas, djm.2.sas1.y_angle, float, 1
djm, Sas, djm.2.sas1.tmp, float, 1
djm, Sas, djm.2.sas1.gain, int, 1
djm, Sas, djm.2.sas1.x_peak, int, 1
djm, Sas, djm.2.sas1.y_peak, int, 1
djm, Sas, djm.2.sas1.sensor_gain_mode, str, 1
djm, Sas, djm.2.sas1.error_chk, str, 1
djm, Sas, djm.2.sas1.timestamp, str, 1
djm, Sas, djm.2.sas2.x_angle, float, 1
djm, Sas, djm.2.sas2.y_angle, float, 1
djm, Sas, djm.2.sas2.tmp, float, 1
djm, Sas, djm.2.sas2.gain, int, 1
djm, Sas, djm.2.sas2.x_peak, int, 1
djm, Sas, djm.2.sas2.y_peak, int, 1
djm, Sas, djm.2.sas2.sensor_gain_mode, str, 1
djm, Sas, djm.2.sas2.error_chk, str, 1
djm, Sas, djm.2.sas2.timestamp, str, 1
djm, Djm, djm.2.time_stamp, str, 1
djm, Djm, djm.2.djm_version, str, 1
djm, Djm, djm.2.build_time, str, 1
djm, Djm, djm.2.build_date, str, 1
djm, Djm, djm.2.terminal_log, str, 1
djm, Djm, djm.2.checksum, int, 1
djm, Djm, djm.3.djm_id, int, 1
djm, Djm, djm.3.systime, str, 1
djm, Djm, djm.3.log_size, int, 1
djm, Djm, djm.3.hk_djm_id, int, 1
djm, Djm, djm.3.string_v.1, float, 1
djm, Djm, djm.3.string_v.2, float, 1
djm, Djm, djm.3.string_v.3, float, 1
djm, Djm, djm.3.string_v.4, float, 1
djm, Djm, djm.3.string_v.5, float, 1
djm, Djm, djm.3.string_v.6, float, 1
djm, Djm, djm.3.string_v.7, float, 1
djm, Djm, djm.3.string_v.8, float, 1
